fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;name
7.4;0.7;0.0;1.9;0.076;11.0;34.0;0.9978;3.51;0.56;9.4;5;r0000
7.8;0.88;0.0;2.6;0.098;25.0;67.0;0.9968;3.2;0.68;9.8;5;r0001
7.8;0.76;0.04;2.3;0.092;15.0;54.0;0.997;3.26;0.65;9.8;5;r0002
11.2;0.28;0.56;1.9;0.075;17.0;60.0;0.998;3.16;0.58;9.8;6;r0003
7.4;0.7;0.0;1.9;0.076;11.0;34.0;0.9978;3.51;0.56;9.4;5;r0004
7.4;0.66;0.0;1.8;0.075;13.0;40.0;0.9978;3.51;0.56;9.4;5;r0005
7.9;0.6;0.06;1.6;0.069;15.0;59.0;0.9964;3.3;0.46;9.4;5;r0006
7.3;0.65;0.0;1.2;0.065;15.0;21.0;0.9946;3.39;0.47;10.0;7;r0007
7.8;0.58;0.02;2.0;0.073;9.0;18.0;0.9968;3.36;0.57;9.5;7;r0008
7.5;0.5;0.36;6.1;0.071;17.0;102.0;0.9978;3.35;0.8;10.5;5;r0009
6.7;0.58;0.08;1.8;0.097;15.0;65.0;0.9959;3.28;0.54;9.2;5;r0010
7.5;0.5;0.36;6.1;0.071;17.0;102.0;0.9978;3.35;0.8;10.5;5;r0011
5.6;0.615;0.0;1.6;0.08900000000000001;16.0;59.0;0.9943;3.58;0.52;9.9;5;r0012
7.8;0.61;0.29;1.6;0.114;9.0;29.0;0.9974;3.26;1.56;9.1;5;r0013
8.9;0.62;0.18;3.8;0.17600000000000002;52.0;145.0;0.9986;3.16;0.88;9.2;5;r0014
8.9;0.62;0.19;3.9;0.17;51.0;148.0;0.9986;3.17;0.93;9.2;5;r0015
8.5;0.28;0.56;1.8;0.092;35.0;103.0;0.9969;3.3;0.75;10.5;7;r0016
8.1;0.56;0.28;1.7;0.368;16.0;56.0;0.9968;3.11;1.28;9.3;5;r0017
7.4;0.59;0.08;4.4;0.086;6.0;29.0;0.9974;3.38;0.5;9.0;4;r0018
7.9;0.32;0.51;1.8;0.341;17.0;56.0;0.9969;3.04;1.08;9.2;6;r0019
8.9;0.22;0.48;1.8;0.077;29.0;60.0;0.9968;3.39;0.53;9.4;6;r0020
7.6;0.39;0.31;2.3;0.08199999999999999;23.0;71.0;0.9982;3.52;0.65;9.7;5;r0021
7.9;0.43;0.21;1.6;0.106;10.0;37.0;0.9966;3.17;0.91;9.5;5;r0022
8.5;0.49;0.11;2.3;0.084;9.0;67.0;0.9968;3.17;0.53;9.4;5;r0023
6.9;0.4;0.14;2.4;0.085;21.0;40.0;0.9968;3.43;0.63;9.7;6;r0024
6.3;0.39;0.16;1.4;0.08;11.0;23.0;0.9955;3.34;0.56;9.3;5;r0025
7.6;0.41;0.24;1.8;0.08;4.0;11.0;0.9962;3.28;0.59;9.5;5;r0026
7.9;0.43;0.21;1.6;0.106;10.0;37.0;0.9966;3.17;0.91;9.5;5;r0027
7.1;0.71;0.0;1.9;0.08;14.0;35.0;0.9972;3.47;0.55;9.4;5;r0028
7.8;0.645;0.0;2.0;0.08199999999999999;8.0;16.0;0.9964;3.38;0.59;9.8;6;r0029
6.7;0.675;0.07;2.4;0.08900000000000001;17.0;82.0;0.9958;3.35;0.54;10.1;5;r0030
6.9;0.685;0.0;2.5;0.105;22.0;37.0;0.9966;3.46;0.57;10.6;6;r0031
8.3;0.655;0.12;2.3;0.083;15.0;113.0;0.9966;3.17;0.66;9.8;5;r0032
6.9;0.605;0.12;10.7;0.073;40.0;83.0;0.9993;3.45;0.52;9.4;6;r0033
5.2;0.32;0.25;1.8;0.103;13.0;50.0;0.9957;3.38;0.55;9.2;5;r0034
7.8;0.645;0.0;5.5;0.086;5.0;18.0;0.9986;3.4;0.55;9.6;6;r0035
7.8;0.6;0.14;2.4;0.086;3.0;15.0;0.9975;3.42;0.6;10.8;6;r0036
8.1;0.38;0.28;2.1;0.066;13.0;30.0;0.9968;3.23;0.73;9.7;7;r0037
5.7;1.13;0.09;1.5;0.172;7.0;19.0;0.994;3.5;0.48;9.8;4;r0038
7.3;0.45;0.36;5.9;0.07400000000000001;12.0;87.0;0.9978;3.33;0.83;10.5;5;r0039
7.3;0.45;0.36;5.9;0.07400000000000001;12.0;87.0;0.9978;3.33;0.83;10.5;5;r0040
8.8;0.61;0.3;2.8;0.08800000000000001;17.0;46.0;0.9976;3.26;0.51;9.3;4;r0041
7.5;0.49;0.2;2.6;0.332;8.0;14.0;0.9968;3.21;0.9;10.5;6;r0042
8.1;0.66;0.22;2.2;0.069;9.0;23.0;0.9968;3.3;1.2;10.3;5;r0043
6.8;0.67;0.02;1.8;0.05;5.0;11.0;0.9962;3.48;0.52;9.5;5;r0044
4.6;0.52;0.15;2.1;0.054000000000000006;8.0;65.0;0.9934;3.9;0.56;13.1;4;r0045
7.7;0.935;0.43;2.2;0.114;22.0;114.0;0.997;3.25;0.73;9.2;5;r0046
8.7;0.29;0.52;1.6;0.113;12.0;37.0;0.9969;3.25;0.58;9.5;5;r0047
6.4;0.4;0.23;1.6;0.066;5.0;12.0;0.9958;3.34;0.56;9.2;5;r0048
5.6;0.31;0.37;1.4;0.07400000000000001;12.0;96.0;0.9954;3.32;0.58;9.2;5;r0049
8.8;0.66;0.26;1.7;0.07400000000000001;4.0;23.0;0.9971;3.15;0.74;9.2;5;r0050
6.6;0.52;0.04;2.2;0.069;8.0;15.0;0.9956;3.4;0.63;9.4;6;r0051
6.6;0.5;0.04;2.1;0.068;6.0;14.0;0.9955;3.39;0.64;9.4;6;r0052
8.6;0.38;0.36;3.0;0.081;30.0;119.0;0.997;3.2;0.56;9.4;5;r0053
7.6;0.51;0.15;2.8;0.11;33.0;73.0;0.9955;3.17;0.63;10.2;6;r0054
7.7;0.62;0.04;3.8;0.084;25.0;45.0;0.9978;3.34;0.53;9.5;5;r0055
