fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;name
7.0;0.27;0.36;20.7;0.045;45.0;170.0;1.001;3.0;0.45;8.8;6;w0000
6.3;0.3;0.34;1.6;0.049;14.0;132.0;0.994;3.3;0.49;9.5;6;w0001
8.1;0.28;0.4;6.9;0.05;30.0;97.0;0.9951;3.26;0.44;10.1;6;w0002
7.2;0.23;0.32;8.5;0.058;47.0;186.0;0.9956;3.19;0.4;9.9;6;w0003
7.2;0.23;0.32;8.5;0.058;47.0;186.0;0.9956;3.19;0.4;9.9;6;w0004
8.1;0.28;0.4;6.9;0.05;30.0;97.0;0.9951;3.26;0.44;10.1;6;w0005
6.2;0.32;0.16;7.0;0.045;30.0;136.0;0.9949;3.18;0.47;9.6;6;w0006
7.0;0.27;0.36;20.7;0.045;45.0;170.0;1.001;3.0;0.45;8.8;6;w0007
6.3;0.3;0.34;1.6;0.049;14.0;132.0;0.994;3.3;0.49;9.5;6;w0008
8.1;0.22;0.43;1.5;0.044;28.0;129.0;0.9938;3.22;0.45;11.0;6;w0009
8.1;0.27;0.41;1.45;0.033;11.0;63.0;0.9908;2.99;0.56;12.0;5;w0010
8.6;0.23;0.4;4.2;0.035;17.0;109.0;0.9947;3.14;0.53;9.7;5;w0011
7.9;0.18;0.37;1.2;0.04;16.0;75.0;0.992;3.18;0.63;10.8;5;w0012
6.6;0.16;0.4;1.5;0.044;48.0;143.0;0.9912;3.54;0.52;12.4;7;w0013
8.3;0.42;0.62;19.25;0.04;41.0;172.0;1.0002;2.98;0.67;9.7;5;w0014
6.6;0.17;0.38;1.5;0.032;28.0;112.0;0.9914;3.25;0.55;11.4;7;w0015
6.3;0.48;0.04;1.1;0.046;30.0;99.0;0.9928;3.24;0.36;9.6;6;w0016
6.2;0.66;0.48;1.2;0.029;29.0;75.0;0.9892;3.33;0.39;12.8;8;w0017
7.4;0.34;0.42;1.1;0.033;17.0;171.0;0.9917;3.12;0.53;11.3;6;w0018
6.5;0.31;0.14;7.5;0.044;34.0;133.0;0.9955;3.22;0.5;9.5;5;w0019
6.2;0.66;0.48;1.2;0.029;29.0;75.0;0.9892;3.33;0.39;12.8;8;w0020
6.4;0.31;0.38;2.9;0.038;19.0;102.0;0.9912;3.17;0.35;11.0;7;w0021
6.8;0.26;0.42;1.7;0.049;41.0;122.0;0.993;3.47;0.48;10.5;8;w0022
7.6;0.67;0.14;1.5;0.07400000000000001;25.0;168.0;0.9937;3.05;0.51;9.3;5;w0023
6.6;0.27;0.41;1.3;0.052000000000000005;16.0;142.0;0.9951;3.42;0.47;10.0;6;w0024
7.0;0.25;0.32;9.0;0.046;56.0;245.0;0.9955;3.25;0.5;10.4;6;w0025
6.9;0.24;0.35;1.0;0.052000000000000005;35.0;146.0;0.993;3.45;0.44;10.0;6;w0026
7.0;0.28;0.39;8.7;0.051;32.0;141.0;0.9961;3.38;0.53;10.5;6;w0027
7.4;0.27;0.48;1.1;0.047;17.0;132.0;0.9914;3.19;0.49;11.6;6;w0028
7.2;0.32;0.36;2.0;0.033;37.0;114.0;0.9906;3.1;0.71;12.3;7;w0029
8.5;0.24;0.39;10.4;0.044;20.0;142.0;0.9974;3.2;0.53;10.0;6;w0030
8.3;0.14;0.34;1.1;0.042;7.0;47.0;0.9934;3.47;0.4;10.2;6;w0031
7.4;0.25;0.36;2.05;0.05;31.0;100.0;0.992;3.19;0.44;10.8;6;w0032
6.2;0.12;0.34;1.5;0.045;43.0;117.0;0.9939;3.42;0.51;9.0;6;w0033
5.8;0.27;0.2;14.95;0.044;22.0;179.0;0.9962;3.37;0.37;10.2;5;w0034
7.3;0.28;0.43;1.7;0.08;21.0;123.0;0.9905;3.19;0.42;12.8;5;w0035
6.5;0.39;0.23;5.4;0.051;25.0;149.0;0.9934;3.24;0.35;10.0;5;w0036
7.0;0.33;0.32;1.2;0.053;38.0;138.0;0.9906;3.13;0.28;11.2;6;w0037
7.3;0.24;0.39;17.95;0.057;45.0;149.0;0.9999;3.21;0.36;8.6;5;w0038
7.3;0.24;0.39;17.95;0.057;45.0;149.0;0.9999;3.21;0.36;8.6;5;w0039
6.7;0.23;0.39;2.5;0.172;63.0;158.0;0.9937;3.11;0.36;9.4;6;w0040
6.7;0.24;0.39;2.9;0.173;63.0;157.0;0.9937;3.1;0.34;9.4;6;w0041
7.0;0.31;0.26;7.4;0.069;28.0;160.0;0.9954;3.13;0.46;9.8;6;w0042
6.6;0.24;0.27;1.4;0.057;33.0;152.0;0.9934;3.22;0.56;9.5;6;w0043
6.7;0.23;0.26;1.4;0.06;33.0;154.0;0.9934;3.24;0.56;9.5;6;w0044
7.4;0.18;0.31;1.4;0.058;38.0;167.0;0.9931;3.16;0.53;10.0;7;w0045
6.2;0.45;0.26;4.4;0.063;63.0;206.0;0.994;3.27;0.52;9.8;4;w0046
6.2;0.46;0.25;4.4;0.066;62.0;207.0;0.9939;3.25;0.52;9.8;5;w0047
7.0;0.31;0.26;7.4;0.069;28.0;160.0;0.9954;3.13;0.46;9.8;6;w0048
6.9;0.19;0.35;5.0;0.067;32.0;150.0;0.995;3.36;0.48;9.8;5;w0049
7.2;0.19;0.31;1.6;0.062;31.0;173.0;0.9917;3.35;0.44;11.7;6;w0050
6.6;0.25;0.29;1.1;0.068;39.0;124.0;0.9914;3.34;0.58;11.0;7;w0051
6.2;0.16;0.33;1.1;0.057;21.0;82.0;0.991;3.32;0.46;10.9;7;w0052
6.4;0.18;0.35;1.0;0.045;39.0;108.0;0.9911;3.31;0.35;10.9;6;w0053
6.8;0.2;0.59;0.9;0.147;38.0;132.0;0.993;3.05;0.38;9.1;6;w0054
6.9;0.25;0.35;1.3;0.039;29.0;191.0;0.9908;3.13;0.52;11.0;6;w0055
7.2;0.21;0.34;11.9;0.043;37.0;213.0;0.9962;3.09;0.5;9.6;6;w0056
6.0;0.19;0.26;12.4;0.048;50.0;147.0;0.9972;3.3;0.36;8.9;6;w0057
6.6;0.38;0.15;4.6;0.044;25.0;78.0;0.9931;3.11;0.38;10.2;6;w0058
7.4;0.2;0.36;1.2;0.038;44.0;111.0;0.9926;3.36;0.34;9.9;6;w0059
6.8;0.22;0.24;4.9;0.092;30.0;123.0;0.9951;3.03;0.46;8.6;6;w0060
6.0;0.19;0.26;12.4;0.048;50.0;147.0;0.9972;3.3;0.36;8.9;6;w0061
7.0;0.47;0.07;1.1;0.035;17.0;151.0;0.991;3.02;0.34;10.5;5;w0062
6.6;0.38;0.15;4.6;0.044;25.0;78.0;0.9931;3.11;0.38;10.2;6;w0063
7.2;0.24;0.27;1.4;0.038;31.0;122.0;0.9927;3.15;0.46;10.3;6;w0064
6.2;0.35;0.03;1.2;0.064;29.0;120.0;0.9934;3.22;0.54;9.1;5;w0065
6.4;0.26;0.24;6.4;0.04;27.0;124.0;0.9903;3.22;0.49;12.6;7;w0066
6.7;0.25;0.13;1.2;0.041;81.0;174.0;0.992;3.14;0.42;9.8;5;w0067
6.7;0.23;0.31;2.1;0.046;30.0;96.0;0.9926;3.33;0.64;10.7;8;w0068
7.4;0.24;0.29;10.1;0.05;21.0;105.0;0.9962;3.13;0.35;9.5;5;w0069
6.2;0.27;0.43;7.8;0.056;48.0;244.0;0.9956;3.1;0.51;9.0;6;w0070
6.8;0.3;0.23;4.6;0.061;50.5;238.5;0.9958;3.32;0.6;9.5;5;w0071
6.0;0.27;0.28;4.8;0.063;31.0;201.0;0.9964;3.69;0.71;10.0;5;w0072
8.6;0.23;0.46;1.0;0.054000000000000006;9.0;72.0;0.9941;2.95;0.49;9.1;6;w0073
6.7;0.23;0.31;2.1;0.046;30.0;96.0;0.9926;3.33;0.64;10.7;8;w0074
7.4;0.24;0.29;10.1;0.05;21.0;105.0;0.9962;3.13;0.35;9.5;5;w0075
7.1;0.18;0.36;1.4;0.043;31.0;87.0;0.9898;3.26;0.37;12.7;7;w0076
7.0;0.32;0.34;1.3;0.042;20.0;69.0;0.9912;3.31;0.65;12.0;7;w0077
7.4;0.18;0.3;8.8;0.064;26.0;103.0;0.9961;2.94;0.56;9.3;5;w0078
6.7;0.54;0.28;5.4;0.06;21.0;105.0;0.9949;3.27;0.37;9.0;5;w0079
6.8;0.22;0.31;1.4;0.053;34.0;114.0;0.9929;3.39;0.77;10.6;6;w0080
7.1;0.2;0.34;16.0;0.05;51.0;166.0;0.9985;3.21;0.6;9.2;6;w0081
7.1;0.34;0.2;6.1;0.063;47.0;164.0;0.9946;3.17;0.42;10.0;5;w0082
7.3;0.22;0.3;8.2;0.047;42.0;207.0;0.9966;3.33;0.46;9.5;6;w0083
7.1;0.43;0.61;11.8;0.045;54.0;155.0;0.9974;3.11;0.45;8.7;5;w0084
7.1;0.44;0.62;11.8;0.044;52.0;152.0;0.9975;3.12;0.46;8.7;6;w0085
7.2;0.39;0.63;11.0;0.044;55.0;156.0;0.9974;3.09;0.44;8.7;6;w0086
6.8;0.25;0.31;13.3;0.05;69.0;202.0;0.9972;3.22;0.48;9.7;6;w0087
7.1;0.43;0.61;11.8;0.045;54.0;155.0;0.9974;3.11;0.45;8.7;5;w0088
7.1;0.44;0.62;11.8;0.044;52.0;152.0;0.9975;3.12;0.46;8.7;6;w0089
7.2;0.39;0.63;11.0;0.044;55.0;156.0;0.9974;3.09;0.44;8.7;6;w0090
6.1;0.27;0.43;7.5;0.049;65.0;243.0;0.9957;3.12;0.47;9.0;5;w0091
6.9;0.24;0.33;1.7;0.035;47.0;136.0;0.99;3.26;0.4;12.6;7;w0092
6.9;0.21;0.33;1.8;0.034;48.0;136.0;0.9899;3.25;0.41;12.6;7;w0093
7.5;0.17;0.32;1.7;0.04;51.0;148.0;0.9916;3.21;0.44;11.5;7;w0094
7.1;0.26;0.29;12.4;0.044;62.0;240.0;0.9969;3.04;0.42;9.2;6;w0095
6.0;0.34;0.66;15.9;0.046;26.0;164.0;0.9979;3.14;0.5;8.8;6;w0096
8.6;0.265;0.36;1.2;0.034;15.0;80.0;0.9913;2.95;0.36;11.4;7;w0097
9.8;0.36;0.46;10.5;0.038;4.0;83.0;0.9956;2.89;0.3;10.1;4;w0098
6.0;0.34;0.66;15.9;0.046;26.0;164.0;0.9979;3.14;0.5;8.8;6;w0099
7.4;0.25;0.37;13.5;0.06;52.0;192.0;0.9975;3.0;0.44;9.1;5;w0100
7.1;0.12;0.32;9.6;0.054000000000000006;64.0;162.0;0.9962;3.4;0.41;9.4;5;w0101
6.0;0.21;0.24;12.1;0.05;55.0;164.0;0.997;3.34;0.39;9.4;5;w0102
7.5;0.305;0.4;18.9;0.059;44.0;170.0;1.0;2.99;0.46;9.0;5;w0103
7.4;0.25;0.37;13.5;0.06;52.0;192.0;0.9975;3.0;0.44;9.1;5;w0104
7.3;0.13;0.32;14.4;0.051;34.0;109.0;0.9974;3.2;0.35;9.2;6;w0105
7.1;0.12;0.32;9.6;0.054000000000000006;64.0;162.0;0.9962;3.4;0.41;9.4;5;w0106
7.1;0.23;0.35;16.5;0.04;60.0;171.0;0.999;3.16;0.59;9.1;6;w0107
7.1;0.23;0.35;16.5;0.04;60.0;171.0;0.999;3.16;0.59;9.1;6;w0108
6.9;0.33;0.28;1.3;0.051;37.0;187.0;0.9927;3.27;0.6;10.3;5;w0109
6.5;0.17;0.54;8.5;0.08199999999999999;64.0;163.0;0.9959;2.89;0.39;8.8;6;w0110
7.2;0.27;0.46;18.75;0.052000000000000005;45.0;255.0;1.0;3.04;0.52;8.9;5;w0111
7.2;0.31;0.5;13.3;0.056;68.0;195.0;0.9982;3.01;0.47;9.2;5;w0112
6.7;0.41;0.34;9.2;0.049;29.0;150.0;0.9968;3.22;0.51;9.1;5;w0113
6.7;0.41;0.34;9.2;0.049;29.0;150.0;0.9968;3.22;0.51;9.1;5;w0114
5.5;0.485;0.0;1.5;0.065;8.0;103.0;0.994;3.63;0.4;9.7;4;w0115
6.0;0.31;0.24;3.3;0.041;25.0;143.0;0.9914;3.31;0.44;11.3;6;w0116
7.0;0.14;0.4;1.7;0.035;16.0;85.0;0.9911;3.19;0.42;11.8;6;w0117
7.2;0.31;0.5;13.3;0.056;68.0;195.0;0.9982;3.01;0.47;9.2;5;w0118
7.3;0.32;0.48;13.3;0.06;57.0;196.0;0.9982;3.04;0.5;9.2;5;w0119
5.9;0.36;0.04;5.7;0.046;21.0;87.0;0.9934;3.22;0.51;10.2;5;w0120
7.8;0.24;0.32;12.2;0.054000000000000006;42.0;138.0;0.9984;3.01;0.54;8.8;5;w0121
7.4;0.16;0.31;6.85;0.059;31.0;131.0;0.9952;3.29;0.34;9.7;5;w0122
6.9;0.19;0.28;5.0;0.058;14.0;146.0;0.9952;3.29;0.36;9.1;6;w0123
6.4;0.13;0.47;1.6;0.092;40.0;158.0;0.9928;3.21;0.36;9.8;6;w0124
6.7;0.19;0.36;1.1;0.026;63.0;143.0;0.9912;3.27;0.48;11.0;6;w0125
7.4;0.39;0.23;7.0;0.033;29.0;126.0;0.994;3.14;0.42;10.5;5;w0126
6.5;0.24;0.32;7.6;0.038;48.0;203.0;0.9958;3.45;0.54;9.7;7;w0127
6.1;0.3;0.56;2.8;0.044;47.0;179.0;0.9924;3.3;0.57;10.9;7;w0128
6.1;0.3;0.56;2.7;0.046;46.0;184.0;0.9924;3.31;0.57;10.9;6;w0129
5.7;0.26;0.25;10.4;0.02;7.0;57.0;0.994;3.39;0.37;10.6;5;w0130
6.5;0.24;0.32;7.6;0.038;48.0;203.0;0.9958;3.45;0.54;9.7;7;w0131
6.5;0.425;0.4;13.1;0.038;59.0;241.0;0.9979;3.23;0.57;9.0;5;w0132
6.6;0.24;0.27;15.8;0.035;46.0;188.0;0.9982;3.24;0.51;9.2;5;w0133
6.8;0.27;0.22;8.1;0.034;55.0;203.0;0.9961;3.19;0.52;8.9;5;w0134
6.7;0.27;0.31;15.7;0.036000000000000004;44.0;179.0;0.9979;3.26;0.56;9.6;5;w0135
8.2;0.23;0.4;1.2;0.027000000000000003;36.0;121.0;0.992;3.12;0.38;10.7;6;w0136
7.1;0.37;0.67;10.5;0.045;49.0;155.0;0.9975;3.16;0.44;8.7;5;w0137
6.8;0.19;0.36;1.9;0.035;30.0;96.0;0.9917;3.15;0.54;10.8;7;w0138
8.1;0.28;0.39;1.9;0.029;18.0;79.0;0.9923;3.23;0.52;11.8;6;w0139
6.3;0.31;0.34;2.2;0.045;20.0;77.0;0.9927;3.3;0.43;10.2;5;w0140
7.1;0.37;0.67;10.5;0.045;49.0;155.0;0.9975;3.16;0.44;8.7;5;w0141
7.9;0.21;0.4;1.2;0.039;38.0;107.0;0.992;3.21;0.54;10.8;6;w0142
8.5;0.21;0.41;4.3;0.036000000000000004;24.0;99.0;0.9947;3.18;0.53;9.7;6;w0143
8.1;0.2;0.4;2.0;0.037000000000000005;19.0;87.0;0.9921;3.12;0.54;11.2;6;w0144
6.3;0.255;0.37;1.1;0.04;37.0;114.0;0.9905;3.0;0.39;10.9;6;w0145
5.6;0.16;0.27;1.4;0.044;53.0;168.0;0.9918;3.28;0.37;10.1;6;w0146
6.4;0.595;0.14;5.2;0.058;15.0;97.0;0.9951;3.38;0.36;9.0;4;w0147
6.3;0.34;0.33;4.6;0.034;19.0;80.0;0.9917;3.38;0.58;12.0;7;w0148
6.9;0.25;0.3;4.1;0.054000000000000006;23.0;116.0;0.994;2.99;0.38;9.4;6;w0149
7.9;0.22;0.38;8.0;0.043;46.0;152.0;0.9934;3.12;0.32;11.5;7;w0150
7.6;0.18;0.46;10.2;0.055;58.0;135.0;0.9968;3.14;0.43;9.9;6;w0151
6.9;0.25;0.3;4.1;0.054000000000000006;23.0;116.0;0.994;2.99;0.38;9.4;6;w0152
7.2;0.18;0.41;1.2;0.048;41.0;97.0;0.9919;3.14;0.45;10.4;5;w0153
8.2;0.23;0.4;7.5;0.049;12.0;76.0;0.9966;3.06;0.84;9.7;6;w0154
7.4;0.24;0.42;14.0;0.066;48.0;198.0;0.9979;2.89;0.42;8.9;6;w0155
7.4;0.24;0.42;14.0;0.066;48.0;198.0;0.9979;2.89;0.42;8.9;6;w0156
6.1;0.32;0.24;1.5;0.036000000000000004;38.0;124.0;0.9898;3.29;0.42;12.4;7;w0157
5.2;0.44;0.04;1.4;0.036000000000000004;43.0;119.0;0.9894;3.36;0.33;12.1;8;w0158
5.2;0.44;0.04;1.4;0.036000000000000004;43.0;119.0;0.9894;3.36;0.33;12.1;8;w0159
6.1;0.32;0.24;1.5;0.036000000000000004;38.0;124.0;0.9898;3.29;0.42;12.4;7;w0160
6.4;0.22;0.56;14.5;0.055;27.0;159.0;0.998;2.98;0.4;9.1;5;w0161
6.3;0.36;0.3;4.8;0.049;14.0;85.0;0.9932;3.28;0.39;10.6;5;w0162
7.4;0.24;0.42;14.0;0.066;48.0;198.0;0.9979;2.89;0.42;8.9;6;w0163
6.7;0.24;0.35;13.1;0.05;64.0;205.0;0.997;3.15;0.5;9.5;5;w0164
7.0;0.23;0.36;13.0;0.051;72.0;177.0;0.9972;3.16;0.49;9.8;5;w0165
8.4;0.27;0.46;8.7;0.048;39.0;197.0;0.9974;3.14;0.59;9.6;6;w0166
6.7;0.46;0.18;2.4;0.034;25.0;98.0;0.9896;3.08;0.44;12.6;7;w0167
7.5;0.29;0.31;8.95;0.055;20.0;151.0;0.9968;3.08;0.54;9.3;5;w0168
9.8;0.42;0.48;9.85;0.034;5.0;110.0;0.9958;2.87;0.29;10.0;5;w0169
7.1;0.3;0.46;1.5;0.066;29.0;133.0;0.9906;3.12;0.54;12.7;6;w0170
7.9;0.19;0.45;1.5;0.045;17.0;96.0;0.9917;3.13;0.39;11.0;6;w0171
7.6;0.48;0.37;0.8;0.037000000000000005;4.0;100.0;0.9902;3.03;0.39;11.4;4;w0172
6.3;0.22;0.43;4.55;0.038;31.0;130.0;0.9918;3.35;0.33;11.5;7;w0173
7.5;0.27;0.31;17.7;0.051;33.0;173.0;0.999;3.09;0.64;10.2;5;w0174
6.9;0.23;0.4;7.5;0.04;50.0;151.0;0.9927;3.11;0.27;11.4;6;w0175
7.2;0.32;0.47;5.1;0.044;19.0;65.0;0.991;3.03;0.41;12.6;4;w0176
5.9;0.23;0.3;12.9;0.054000000000000006;57.0;170.0;0.9972;3.28;0.39;9.4;5;w0177
6.0;0.67;0.07;1.2;0.06;9.0;108.0;0.9931;3.11;0.35;8.7;4;w0178
6.4;0.25;0.32;5.5;0.049;41.0;176.0;0.995;3.19;0.68;9.2;6;w0179
6.4;0.33;0.31;5.5;0.048;42.0;173.0;0.9951;3.19;0.66;9.3;6;w0180
7.1;0.34;0.15;1.2;0.053;61.0;183.0;0.9936;3.09;0.43;9.2;5;w0181
6.8;0.28;0.4;22.0;0.048;48.0;167.0;1.001;2.93;0.5;8.7;5;w0182
6.9;0.27;0.4;14.0;0.05;64.0;227.0;0.9979;3.18;0.58;9.6;6;w0183
6.8;0.26;0.56;11.9;0.043;64.0;226.0;0.997;3.02;0.63;9.3;5;w0184
6.8;0.29;0.56;11.9;0.043;66.0;230.0;0.9972;3.02;0.63;9.3;5;w0185
6.7;0.24;0.41;9.4;0.04;49.0;166.0;0.9954;3.12;0.61;9.9;6;w0186
5.9;0.3;0.23;4.2;0.038;42.0;119.0;0.9924;3.15;0.5;11.0;5;w0187
6.8;0.53;0.35;3.8;0.034;26.0;109.0;0.9906;3.26;0.57;12.7;8;w0188
6.5;0.28;0.28;8.5;0.047;54.0;210.0;0.9962;3.09;0.54;8.9;4;w0189
6.6;0.28;0.28;8.5;0.052000000000000005;55.0;211.0;0.9962;3.09;0.55;8.9;6;w0190
6.8;0.28;0.4;22.0;0.048;48.0;167.0;1.001;2.93;0.5;8.7;5;w0191
6.8;0.28;0.36;8.0;0.045;28.0;123.0;0.9928;3.02;0.37;11.4;6;w0192
6.6;0.15;0.34;5.1;0.055;34.0;125.0;0.9942;3.36;0.42;9.6;5;w0193
6.4;0.29;0.44;3.6;0.2;75.0;181.0;0.9942;3.02;0.41;9.1;5;w0194
6.4;0.3;0.45;3.5;0.197;76.0;180.0;0.9942;3.02;0.39;9.1;6;w0195
6.4;0.29;0.44;3.6;0.197;75.0;183.0;0.9942;3.01;0.38;9.1;5;w0196
6.8;0.26;0.24;7.8;0.052000000000000005;54.0;214.0;0.9961;3.13;0.47;8.9;5;w0197
7.1;0.32;0.24;13.1;0.05;52.0;204.0;0.998;3.1;0.49;8.8;5;w0198
6.8;0.26;0.24;7.8;0.052000000000000005;54.0;214.0;0.9961;3.13;0.47;8.9;5;w0199
6.8;0.27;0.26;16.1;0.049;55.0;196.0;0.9984;3.15;0.5;9.3;5;w0200
7.1;0.32;0.24;13.1;0.05;52.0;204.0;0.998;3.1;0.49;8.8;5;w0201
6.9;0.54;0.32;13.2;0.05;53.0;236.0;0.9973;3.2;0.5;9.6;5;w0202
6.8;0.26;0.34;13.9;0.034;39.0;134.0;0.9949;3.33;0.53;12.0;6;w0203
5.8;0.28;0.35;2.3;0.053;36.0;114.0;0.9924;3.28;0.5;10.2;4;w0204
6.4;0.21;0.5;11.6;0.042;45.0;153.0;0.9972;3.15;0.43;8.8;5;w0205
7.0;0.16;0.32;8.3;0.045;38.0;126.0;0.9958;3.21;0.34;9.2;5;w0206
10.2;0.44;0.88;6.2;0.049;20.0;124.0;0.9968;2.99;0.51;9.9;4;w0207
6.8;0.57;0.29;2.2;0.04;15.0;77.0;0.9938;3.32;0.74;10.2;5;w0208
6.1;0.4;0.31;0.9;0.048;23.0;170.0;0.993;3.22;0.77;9.5;6;w0209
5.6;0.245;0.25;9.7;0.032;12.0;68.0;0.994;3.31;0.34;10.5;5;w0210
6.8;0.18;0.38;1.4;0.038;35.0;111.0;0.9918;3.32;0.59;11.2;7;w0211
7.0;0.16;0.32;8.3;0.045;38.0;126.0;0.9958;3.21;0.34;9.2;5;w0212
